Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ITRG,Integra Resources Corp. Common Shares,$1.43,0.005,0.351%,88813446.00,,,69299,,
JOB,GEE Group Inc. Common Stock,$0.5035,-0.0555,-9.928%,57449579.00,United States,,715251,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.4996,0.0246,5.179%,27113335.00,Canada,,115016,,
KULR,KULR Technology Group Inc. Common Stock,$2.44,0.04,1.667%,255558539.00,United States,,593407,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.41,0.05,3.676%,211473699.00,United States,,893337,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$36.64,-0.22,-0.597%,527364393.00,United States,2014,242297,,
LGL,LGL Group Inc. (The) Common Stock,$10.83,0.33,3.143%,57504224.00,United States,,9261,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$131.86,3.57,2.783%,33544901160.00,United States,,4620684,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$1.77,0.09,5.357%,121770883.00,United States,,638870,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$3.35,0.20,6.349%,30461182.00,,2020,373217,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$19.23,-0.47,-2.386%,529398516.00,United Kingdom,2012,2021277,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$16.45,-1.19,-6.746%,1607563945.00,Canada,,1708603,,
MGLD,The Marygold Companies Inc. Common Stock,$2.19,-0.01,-0.455%,86249775.00,,,1066187,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$18.80,0.15,0.804%,216702054.00,United States,,7660,Consumer Services,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$3.24,0.20,6.579%,233359176.00,,2020,97628,Consumer Services,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.03,-0.16,-13.445%,10955366.00,United States,2021,600392,Capital Goods,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$1.41,0.09,6.818%,95662761.00,United States,2015,121433,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.85,-0.17,-3.386%,707349972.00,,,313285,,
MSN,Emerson Radio Corporation Common Stock,$0.74,0.00,0.00%,15571562.00,United States,,14402,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$7.59,-0.02,-0.263%,333516395.00,,,254626,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.70,0.112,19.048%,151805168.00,United States,2017,874996,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$18.34,-0.58,-3.066%,38911354.00,United States,,142946,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$4.35,0.17,4.067%,29906494.00,United States,2017,31365,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.39,-0.0093,-2.329%,206599297.00,Canada,,4241745,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.85,0.0513,6.423%,25660217.00,United States,,24561,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$13.59,0.10,0.741%,255967501.00,United States,2002,45896,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$11.33,0.00,0.00%,57527135.00,United States,2002,2234,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$12.70,0.05,0.395%,70498259.00,United States,2002,5069,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.3052,0.0255,9.117%,15204565.00,United States,2007,822753,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$79.55,1.05,1.338%,289419765.00,United States,,355,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.83,-0.26,-8.414%,440787106.00,,2021,414815,,
NFGC,New Found Gold Corp Common Shares,$6.01,-0.17,-2.751%,987111518.00,,2021,73113,,
NG,Novagold Resources Inc.,$7.84,-0.06,-0.759%,2610107751.00,Canada,,2600464,,
NGD,New Gold Inc.,$1.79,-0.02,-1.105%,1219527000.00,Canada,,12933340,,
NHC,National HealthCare Corporation Common Stock,$70.17,-0.70,-0.988%,1084117238.00,United States,,530637,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$10.93,0.03,0.275%,160273170.00,United States,,21455,Finance,Trusts Except Educational Religious and Charitable
NILE,BitNile Holdings Inc. Common Stock,$0.5587,0.0129,2.364%,47115756.00,United States,,23740067,Finance,Investment Bankers/Brokers/Service
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.95,0.01,0.168%,337120622.00,,2013,68387,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$2.24,0.19,9.268%,25836160.00,United States,,84153,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.80,0.06,1.266%,227723107.00,United States,2003,104224,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$2.39,-0.11,-4.40%,57598113.00,United States,,25436,,
OBE,Obsidian Energy Ltd. Common Shares,$7.40,-0.13,-1.726%,599237274.00,,,530914,,
OGEN,Oragenics Inc. Common Stock,$0.351,-0.0311,-8.139%,40854577.00,United States,,823284,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$1.46,-0.05,-3.311%,81605551.00,United States,2007,520957,Capital Goods,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$4.82,0.19,4.104%,1193431778.00,,2020,116419,,
OZ,Belpointe PREP LLC Class A Units,$93.01,-1.325,-1.405%,314573678.00,,,10733,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$30.69,0.02,0.065%,,United States,,687,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$28.4734,-0.0066,-0.023%,,United States,,412,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$25.52,-0.44,-1.695%,,United States,,100,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$25.7445,0.00,0.00%,,United States,,16,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$23.20,0.00,0.00%,,United States,,22,,
PED,Pedevco Corp. Common Stock,$1.50,0.04,2.74%,128194719.00,United States,,703715,,
PHGE,BiomX Inc. COmmon Stock,$1.44,0.03,2.128%,41156970.00,,2019,4793,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.9699,-0.0601,-5.835%,41300214.00,China,,38457,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$2.18,-0.07,-3.111%,209043102.00,Canada,,788819,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.29,0.00,0.00%,331886383.00,Canada,,411083,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.05,0.1199,12.891%,47834479.00,Israel,,847328,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$25.5434,-0.0066,-0.026%,,United States,,172,,
PRK,Park National Corporation Common Stock,$134.15,-1.59,-1.171%,2175773886.00,United States,,80137,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$0.4185,0.0085,2.073%,96964472.00,United States,,2911691,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$47.31,3.16,7.157%,157184305.00,United States,,17780,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$25.9501,-0.15,-0.575%,,United States,,1106,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.75,-0.0681,-8.324%,32834097.00,United States,2015,2494532,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.30,0.0553,2.464%,13689499.00,United States,,4003,Finance,Investment Managers
RCOR,Renovacor Inc. Common Stock,$4.30,0.08,1.896%,74200981.00,,2020,54444,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$3.44,-0.10,-2.825%,342762157.00,United States,,4308457,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$26.56,1.49,5.943%,518316674.00,United States,,1056256,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.09,-0.61,-16.486%,5595706.00,,2017,109152,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.8981,-0.3119,-5.987%,,,,4192,,
RLGT,Radiant Logistics Inc. Common Stock,$6.63,-0.02,-0.301%,327809112.00,United States,,329365,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$0.47,0.01,2.174%,12372930.00,,2018,3800410,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$4.85,0.04,0.832%,163756773.00,United States,,207049,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.14,0.14,0.56%,0.00,United States,2019,3437,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$4.81,-0.11,-2.236%,170088286.00,United States,2017,256007,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$24.85,0.10,0.404%,,United States,,8229,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$2.60,-0.09,-3.346%,94623711.00,,2021,162789,Consumer Non-Durables,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.1998,0.0533,0.212%,0.00,United States,2019,875,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.45,0.06,0.236%,0.00,United States,2020,1069,Consumer Services,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$24.98,-0.11,-0.438%,0.00,United States,,1002,Consumer Services,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$24.52,-0.01,-0.041%,0.00,United States,2022,16774,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.04,-0.02,-1.887%,29295849.00,,2014,541833,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3973.01,16.29,0.412%,4611786575.00,United States,1996,1608,,
SENS,Senseonics Holdings Inc. Common Stock,$1.87,0.05,2.747%,866082794.00,United States,,12114022,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SIF,SIFCO Industries Inc. Common Stock,$5.12,-0.33,-6.055%,30736799.00,United States,,33819,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$9.33,-0.06,-0.639%,1354236102.00,,2018,768859,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$28.8301,1.1106,4.007%,4445416244.00,Mexico,1993,4956,Basic Industries,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$35.72,7.08,24.721%,533570393.00,,,519969,Capital Goods,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$6.29,-0.27,-4.116%,1017206516.00,,2021,3141905,,
SMTS,Sierra Metals Inc. Common Stock,$1.33,-0.02,-1.481%,217322000.00,,,613195,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.5856,-0.0134,-2.237%,66855152.00,United States,,2864348,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.50,0.06,4.167%,10431227.00,United States,,19107,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$3.96,0.13,3.394%,295567692.00,United States,,432312,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.98,0.07,1.79%,704881080.00,,,3395590,,
SVT,Servotronics Inc. Common Stock,$14.80,0.2861,1.971%,36876672.00,United States,,5089,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.43,0.0832,23.991%,68128272.00,United States,,33377563,Health Care,Biotechnology: Pharmaceutical Preparations
TELL,Tellurian Inc. Common Stock,$3.93,-0.12,-2.963%,2037679054.00,United States,,25506334,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$23.75,0.85,3.712%,0.00,United States,,26387,,
TGB,Taseko Mines Ltd. Common Stock,$2.16,0.07,3.349%,617717057.00,Canada,,6211968,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.9662,0.026,2.765%,188320287.00,Canada,,106240,,
TKAT,Takung Art Co. Ltd. Common Stock,$2.42,0.02,0.833%,33776794.00,,,1462115,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$0.3032,-0.0468,-13.371%,19342999.00,United States,2015,1175877,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$79.30,-1.28,-1.588%,1156558463.00,United States,,99796,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.08,0.02,1.887%,157101429.00,Canada,,360798,,
TPHS,Trinity Place Holdings Inc. Common Stock,$2.00,0.17,9.29%,73401472.00,,,139346,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$7.01,-0.12,-1.683%,27683752.00,United States,,40671,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.333,0.0058,1.773%,91240356.00,Canada,,1625145,,
UAMY,United States Antimony Corporation Common Stock,$0.521,-0.0049,-0.932%,55287397.00,United States,,875484,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.12,0.06,5.66%,86539482.00,United States,,4627283,,
UEC,Uranium Energy Corp. Common Stock,$4.58,-0.04,-0.866%,1271657395.00,Canada,,16720737,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$1.85,0.02,1.093%,21706322.00,United States,2015,5725,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.73,-0.01,-0.575%,375745039.00,Canada,,3876465,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.10,0.06,5.769%,180825765.00,,2017,2515915,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$33.06,-0.12,-0.362%,2239085829.00,United States,2004,182731,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$3.81,-0.06,-1.55%,8812099.00,United States,,54504,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$9.70,0.23,2.429%,1520060665.00,,,5337986,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$12.66,0.04,0.317%,265311746.00,United States,1993,50119,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.965,0.0202,2.138%,113087609.00,United States,,357222,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.08,-0.01,-0.099%,253575000.00,,2021,4697,,
VINE,Fresh Vine Wine Inc. Common Stock,$3.05,-0.22,-6.728%,37210040.00,,2021,153342,Consumer Non-Durables,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$10.60,0.07,0.665%,470550441.00,United States,,42181,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$2.75,0.09,3.383%,147224443.00,Singapore,2015,78776,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$5.94,0.04,0.678%,131269521.00,United States,,446656,Technology,Diversified Commercial Services
VZLA,Vizsla Silver Corp. Common Shares,$2.0807,-0.0693,-3.223%,308543584.00,,2022,95168,,
WBEV,Winc Inc. Common Stock,$4.00,0.47,13.314%,52636680.00,,2021,103336,Consumer Non-Durables,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.69,0.19,12.667%,43797198.00,,2021,322612,Capital Goods,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.88,0.00,0.00%,284681115.00,Canada,2011,100249,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.78,-0.07,-3.784%,39909706.00,United States,,41502,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$1.74,0.01,0.578%,71519956.00,United States,,885247,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$4.44,0.18,4.225%,39243588.00,United States,,28963,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.8009,0.0057,0.717%,49684952.00,United States,,833715,Basic Industries,Metal Mining
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.64,-0.0102,-1.569%,55880769.00,United States,,85340,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.73,-0.12,-14.118%,43323465.00,United States,2017,641427,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$5.375,0.265,5.186%,,United States,,1706,,
ZDGE,Zedge Inc. Class B Common Stock ,$6.20,0.01,0.162%,89193597.00,,2016,51909,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.3372,0.0122,3.754%,330422168.00,United States,2017,27316673,,
