Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AXU,Alexco Resource Corp Common Shares (Canada),$1.97,0.03,1.546%,305844275.00,Canada,,1943696,,
BATL,Battalion Oil Corporation Common Stock,$16.31,-2.12,-11.503%,266456959.00,,,68584,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$22.27,0.36,1.643%,122881094.00,United States,,18754,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$24.9667,-0.1033,-0.412%,,United States,,2350,,
BDL,Flanigan's Enterprises Inc. Common Stock,$32.00,0.00,0.00%,59476704.00,United States,,15796,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$0.6409,0.0313,5.135%,7945728.00,United States,,192957,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$4.75,-0.02,-0.419%,87062479.00,Canada,,40559,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.95,0.25,0.842%,449627550.00,United States,,55237,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$2.55,0.06,2.41%,42876557.00,United States,,13701,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$8.73,-0.42,-4.59%,106561680.00,,2018,63257,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$14.99,-0.08,-0.531%,281360531.00,,,84867,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$26.54,-0.08,-0.301%,778610137.00,,2014,900512,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.4994,0.0694,0.273%,,,,9308,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.40,-0.04,-0.157%,,,,504,,
BRN,Barnwell Industries Inc. Common Stock,$2.67,-0.20,-6.969%,25224077.00,United States,,569701,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.43,-0.02,-0.449%,4681139110.00,Canada,,24899096,,
BTN,Ballantyne Strong Inc. Common Stock,$3.10,0.10,3.333%,59630571.00,United States,,19651,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$2.47,-0.14,-5.364%,72226053.00,,2021,252395,Consumer Non-Durables,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.04,0.0596,6.079%,28279205.00,Israel,,190666,Health Care,Biotechnology: Pharmaceutical Preparations
CCF,Chase Corporation Common Stock,$90.83,-0.79,-0.862%,859223189.00,United States,,37184,Basic Industries,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$0.8306,-0.0471,-5.366%,299108288.00,United States,,72026613,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$40.85,0.14,0.344%,1113831786.00,United States,,24013,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$11.73,0.04,0.342%,83676835.00,United States,1999,8198,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.04,0.03,0.997%,159110536.00,United States,,355024,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$24.00,1.01,4.393%,297135768.00,United States,1998,12605,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$11.25,0.16,1.443%,21853069.00,United States,,7744,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$14.01,0.11,0.791%,1688090076.00,United States,1987,1255080,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$13.96,0.16,1.159%,179150439.00,Canada,,61743,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$11.51,0.45,4.069%,97559301.00,United States,,19633,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$17.67,1.86,11.765%,30359445.00,United States,,30109,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.44,0.039,9.726%,20829405.00,China,,193999,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$47.36,-1.11,-2.29%,22923524545.00,United States,2007,446279,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.69,0.02,0.146%,869940085.00,United States,,368816,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$1.43,0.06,4.38%,18856049.00,United States,2017,201576,Technology,Retail: Computer Software & Peripheral Equipment
CTGO,Contango ORE Inc. Common Stock,$26.00,0.00,0.00%,175389500.00,,2021,83,Basic Industries,Precious Metals
CVM,Cel-Sci Corporation Common Stock,$5.00,0.15,3.093%,216378690.00,United States,,5401610,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$29.00,0.60,2.113%,28017828.00,United States,,19624,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.02,-0.09,-2.894%,37285581.00,United States,,85674,Capital Goods,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.8197,-0.0157,-1.879%,134631311.00,,,1380164,,
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.20,0.02,0.917%,227730217.00,United States,1998,430701,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$168.00,-1.15,-0.68%,97908552.00,United States,,649,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$29.19,-0.01,-0.034%,202837603.00,United States,,9311,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$7.57,0.23,3.134%,157117856.00,United States,1988,42085,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.63,-0.01,-0.61%,1328025289.00,Canada,,9870722,,
DSS,DSS Inc. Common Stock,$0.5736,0.0232,4.215%,86683894.00,United States,,510621,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.6415,0.0121,1.922%,13393998.00,China,,89014,Consumer Non-Durables,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$7.88,0.06,0.767%,477419366.00,United States,2003,226869,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.53,0.15,1.445%,142149293.00,United States,1986,45967,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$24.8967,-0.2133,-0.849%,,United States,,5746,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.46,-0.05,-0.434%,824583489.00,United States,2002,333979,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.42,-0.02,-0.45%,119005764.00,United States,,15110,Consumer Non-Durables,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$26.45,-0.56,-2.073%,339863853.00,Israel,,1149,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$12.95,0.16,1.251%,110506740.00,United States,2011,11139,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$1.24,0.05,4.202%,90494554.00,United States,,305623,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.33,0.02,0.866%,245470652.00,Canada,,114148,,
ENSV,Enservco Corporation Common Stock,$2.88,-0.12,-4.00%,32924978.00,United States,,2109778,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.64,-0.01,-0.094%,192778648.00,United States,2002,4995,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$17.92,2.17,13.778%,332970463.00,United States,2022,26366,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.80,-0.20,-2.857%,229083017.00,United States,,254862,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.02,0.19,2.427%,2416623324.00,Canada,,6114782,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$10.16,0.07,0.694%,285415452.00,United States,2003,152821,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$13.22,-0.08,-0.602%,122763300.00,,2004,6822,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$13.70,0.405,3.046%,37026072.00,United States,,2433,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$39.00,-0.30,-0.763%,214176690.00,United States,,9317,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$21.49,1.69,8.535%,264184500.00,United States,,143915,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.10,0.025,0.248%,252442824.00,United States,2002,35160,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$11.88,0.21,1.799%,1380102665.00,United States,2003,674082,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$0.933,-0.097,-9.417%,30840212.00,,2020,653804,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$3.33,-0.02,-0.597%,824826911.00,United States,1986,867951,Finance,Investment Managers
FCO,Aberdeen Global Income Fund Inc. Common Stock,$6.06,0.07,1.169%,53710877.00,United States,1992,63877,Finance,Investment Managers
